t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
0.000000000000000000e+00,7.437855882375536964e-01,-1.270184940472560475e+00,5.962763876700040155e-01,5.301384090282332817e-01,-9.324687482403781758e-02,6.141123919126134645e-01,1.345991394021965659e+00,9.619541398647317443e-02
9.999999999999786837e-03,7.496702758239957021e-01,-1.264605776068100873e+00,5.953292140185337811e-01,5.362502767910307666e-01,-9.619454257453462220e-02,6.082479024407951851e-01,1.343946142898156504e+00,9.719206467943097838e-02
1.999999999999957367e-02,7.555452278579835035e-01,-1.258965680152343669e+00,5.943523790258855577e-01,5.423031337417257847e-01,-9.917901942840798291e-02,6.023104967260997089e-01,1.341912093605454936e+00,9.816186001571927666e-02
2.999999999999936051e-02,7.614102605225228082e-01,-1.253265384881153688e+00,5.933455180811414431e-01,5.482962581847512507e-01,-1.021996042056547288e-01,5.963016730290987555e-01,1.339890062641849733e+00,9.910492565984459212e-02
3.999999999999914735e-02,7.672651835563653044e-01,-1.247505626149982394e+00,5.923082737280367382e-01,5.542289435417647736e-01,-1.052555672012009391e-01,5.902229564021538311e-01,1.337880848951516821e+00,1.000214008308410590e-01
4.999999999999893419e-02,7.731098002848808548e-01,-1.241687143388445325e+00,5.912402959489103660e-01,5.601004986158677479e-01,-1.083461504483571036e-01,5.840758979468735346e-01,1.335885232749447038e+00,1.009114379646762760e-01
5.999999999999872102e-02,7.789439076576250010e-01,-1.235810679357025599e+00,5.901412424459169248e-01,5.659102478483331033e-01,-1.114705680045897929e-01,5.778620740581338344e-01,1.333903974341223098e+00,1.017752023715080278e-01
6.999999999999850786e-02,7.847672962925311690e-01,-1.229876979945927262e+00,5.890107789192425836e-01,5.716575315676788449e-01,-1.146280062651323928e-01,5.715830856484480638e-01,1.331937812938999377e+00,1.026128718882807350e-01
7.999999999999829470e-02,7.905797505266363157e-01,-1.223886793976080911e+00,5.878485793420455963e-01,5.773417062308828784e-01,-1.178176243035727738e-01,5.652405573536312122e-01,1.329987465474680386e+00,1.034246365271439816e-01
8.999999999999808153e-02,7.963810484732404271e-01,-1.217840873002323132e+00,5.866543262318913987e-01,5.829621446565911302e-01,-1.210385542323161173e-01,5.588361367233074528e-01,1.328053625411322658e+00,1.042106981201726817e-01
9.999999999999786837e-02,8.021709620853779699e-01,-1.211739971118729331e+00,5.854277109184368166e-01,5.885182362501295561e-01,-1.242899015924385231e-01,5.523714933945448324e-01,1.326136961553675997e+00,1.049712699608743305e-01
1.099999999999976552e-01,8.079492572255277949e-01,-1.205584844766121266e+00,5.841684338071344573e-01,5.940093872202055758e-01,-1.275707457585865678e-01,5.458483182543009127e-01,1.324238116858829084e+00,1.057065764429499372e-01
1.199999999999974420e-01,8.137156937414372626e-01,-1.199376252541767496e+00,5.828762046387649942e-01,5.994350207871501635e-01,-1.308801403698536259e-01,5.392683225859968843e-01,1.322357707247877823e+00,1.064168526967586709e-01
1.299999999999972289e-01,8.194700255479439033e-01,-1.193114955011246980e+00,5.815507427445791855e-01,6.047945773825766924e-01,-1.342171137743977116e-01,5.326332372052340336e-01,1.320496320419481284e+00,1.071023442239274481e-01
1.399999999999970157e-01,8.252120007146822589e-01,-1.186801714522492945e+00,5.801917772969161780e-01,6.100875148403162029e-01,-1.375806694914872286e-01,5.259448115813601943e-01,1.318654514666225852e+00,1.077633065305518140e-01
1.499999999999968026e-01,8.309413615595540037e-01,-1.180437295022029875e+00,5.787990475550996994e-01,6.153133085785266188e-01,-1.409697866927839827e-01,5.192048129495939746e-01,1.316832817694630009e+00,1.084000047594211175e-01
1.599999999999965894e-01,8.366578447478411062e-01,-1.174022461873404088e+00,5.773723031064448286e-01,6.204714517728759926e-01,-1.443834206997495206e-01,5.124150254143280403e-01,1.315031725449703481e+00,1.090127133216830246e-01
1.699999999999963762e-01,8.423611813968324702e-01,-1.167557981677780576e+00,5.759113041021982626e-01,6.255614555206912009e-01,-1.478205034988454569e-01,5.055772490374668138e-01,1.313251700945048839e+00,1.096017155283588868e-01
1.799999999999961631e-01,8.480510971858380431e-01,-1.161044622096734535e+00,5.744158214882230107e-01,6.305828489959357519e-01,-1.512799442791298854e-01,4.986932989189424292e-01,1.311493173099470777e+00,1.101673032221248821e-01
