t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
0.000000000000000000e+00,6.443547053015595827e-01,-7.029512633284163980e-01,-2.931513544605521271e-01,1.504177117196892934e-02,-1.156377238151345965e-01,-3.912444336795755512e-02,-4.472904095220824328e-01,8.631027967570147064e-02
9.999999999999786837e-03,6.414590719014525710e-01,-7.026389775564553242e-01,-2.942933407095582599e-01,1.464680772815850698e-02,-1.127603662714056348e-01,-3.986581055303094895e-02,-4.450469161795604922e-01,8.593860634636726892e-02
1.999999999999957367e-02,6.385523398967034581e-01,-7.023304544086302892e-01,-2.954065784276473372e-01,1.424449794040489291e-02,-1.098882084202974646e-01,-4.059374671265023743e-02,-4.428230760091709239e-01,8.553102494481727713e-02
2.999999999999936051e-02,6.356347974309427551e-01,-7.020258109396594337e-01,-2.964911248763930640e-01,1.383497515635185963e-02,-1.070222992371197279e-01,-4.130844466581006652e-02,-4.406201701320438535e-01,8.508768554632635539e-02
3.999999999999914735e-02,6.327067319678759683e-01,-7.017251617905942984e-01,-2.975470476967577715e-01,1.341837078760313613e-02,-1.041636655660235500e-01,-4.201009875638526264e-02,-4.384394248897484636e-01,8.460875132734714532e-02
4.999999999999893419e-02,6.297684301885171365e-01,-7.014286191934914205e-01,-2.985744246862053752e-01,1.299481429575347069e-02,-1.013133118099310004e-01,-4.269890459432502949e-02,-4.362820121601163059e-01,8.409439855061470737e-02
5.999999999999872102e-02,6.268201778906664634e-01,-7.011362929777983366e-01,-2.995733435728498151e-01,1.256443318108277710e-02,-9.847221964730294708e-02,-4.337505878227280315e-02,-4.341490497147456051e-01,8.354481654623782672e-02
6.999999999999850786e-02,6.238622598906646832e-01,-7.008482905783647299e-01,-3.005439017869064311e-01,1.212735297404663772e-02,-9.564134777613512994e-02,-4.403875863009500125e-02,-4.320416016169264517e-01,8.296020768849576843e-02
7.999999999999829470e-02,6.208949599274549147e-01,-7.005647170450557404e-01,-3.014862062297123946e-01,1.168369722967293849e-02,-9.282163168392082442e-02,-4.469020185956801283e-02,-4.299606786587032992e-01,8.234078736806385579e-02
8.999999999999808153e-02,6.179185605689676564e-01,-7.002856750538729580e-01,-3.024003730405838697e-01,1.123358752495149694e-02,-9.001398344479821789e-02,-4.532958630141809692e-02,-4.279072388357703649e-01,8.168678395940298653e-02
9.999999999999786837e-02,6.149333431208439116e-01,-7.000112649195604497e-01,-3.032865273617734170e-01,1.077714345928253679e-02,-8.721929154254022543e-02,-4.595710958701131749e-02,-4.258821878589006960e-01,8.099843878306400846e-02
1.099999999999976552e-01,6.119395875375265303e-01,-6.997415846095980108e-01,-3.041448031017900400e-01,1.031448265802515675e-02,-8.443842071950763417e-02,-4.657296883698265610e-02,-4.238863797005937295e-01,8.027600606266380168e-02
1.199999999999974420e-01,6.089375723357278725e-01,-6.994767297595574362e-01,-3.049753426973334514e-01,9.845720779167128900e-03,-8.167221185133373418e-02,-4.717736034873747791e-02,-4.219206171756242907e-01,7.951975287630856648e-02
1.299999999999972289e-01,6.059275745102828958e-01,-6.992167936897176750e-01,-3.057782968741077356e-01,9.370971523117721524e-03,-7.892148184796073107e-02,-4.777047928454107584e-02,-4.199856525541431629e-01,7.872995910226281147e-02
1.399999999999970157e-01,6.029098694524043234e-01,-6.989618674229158835e-01,-3.065538244067736451e-01,8.890346645610471693e-03,-7.618702357940849990e-02,-4.835251936189639138e-02,-4.180821882059769790e-01,7.790691735867287526e-02
1.499999999999968026e-01,5.998847308703451064e-01,-6.987120397035454511e-01,-3.073020918782791155e-01,8.403955973681582689e-03,-7.346960582671564766e-02,-4.892367254830179424e-02,-4.162108772747695751e-01,7.705093293715775671e-02
1.599999999999965894e-01,5.968524307124790651e-01,-6.984673970176463742e-01,-3.080232734388287374e-01,7.911907424672112721e-03,-7.076997325782082016e-02,-4.948412876206399746e-02,-4.143723243806202716e-01,7.616232373007902900e-02
1.699999999999963762e-01,5.938132390927787219e-01,-6.982280236140177010e-01,-3.087175505647272167e-01,7.414307028186979849e-03,-6.808884642700668843e-02,-5.003407558017410051e-02,-4.125670863498614449e-01,7.524142015130477756e-02
1.799999999999961631e-01,5.907674242187265223e-01,-6.979940015263039754e-01,-3.093851118173395198e-01,6.911258950938883178e-03,-6.542692179834047606e-02,-5.057369795343066854e-02,-4.107956729706478960e-01,7.428856505030057011e-02
1.899999999999959499e-01,5.877152523216285784e-01,-6.977654105959755215e-01,-3.100261526024019609e-01,6.402865524408473882e-03,-6.278487179220521019e-02,-5.110317792770495415e-02,-4.090585477729907216e-01,7.330411361939773163e-02
