t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7
7.600000000000000089e-01,-4.769158440828729084e-01,-2.014818264080438404e+00,-1.657494749583223959e+00,-2.481163272950945853e+00,-1.865064079655863738e+00,1.924674359231230980e+00,-8.870753974888672122e-01,2.259243156742376968e+00,-9.232145079919423791e-01,-1.247045676832399197e+00,1.262874049386731590e-01,3.726711559160517107e-01,5.294305725598855705e-01,-1.344000826123706638e+00,1.653325178928108929e-01,1.381518842452678086e-01,-4.806717816803213195e-02,1.787185552211645323e+00,3.257302002714329570e-01,7.293643701382013234e-02,9.803836446090901102e-01
7.800000000000000266e-01,-4.317014421799982848e-01,-2.033252948184381292e+00,-1.682442618400033840e+00,-2.478277948950807108e+00,-1.857545579445824213e+00,1.935278070615115587e+00,-9.137592208751145195e-01,2.262020393925233908e+00,-9.201545309621630420e-01,-1.247607986066811669e+00,1.623507098718955100e-01,3.791754213404561202e-01,5.309656471002490719e-01,-1.324376402314751955e+00,1.123413874694289549e-01,1.679625908971529302e-01,-8.101861969739942992e-03,1.818899388644127146e+00,3.246973581965449385e-01,8.046039363483326046e-02,9.819168706459433515e-01
8.000000000000000444e-01,-3.864421129253103881e-01,-2.051620424628808337e+00,-1.707393715906004417e+00,-2.474665114900575169e+00,-1.849897199807490900e+00,1.945913943611477404e+00,-9.400503057123810180e-01,2.263734971700789522e+00,-9.164914798688128528e-01,-1.247367340253685564e+00,1.990334396057397148e-01,3.856591472369095275e-01,5.326444794264584282e-01,-1.304729791061323807e+00,5.907420441722838200e-02,1.984519273622955549e-01,3.222509252946292868e-02,1.849122151510198098e+00,3.236790620726418544e-01,8.730805334142227592e-02,9.826041597539997285e-01
8.200000000000000622e-01,-3.411591616526221671e-01,-2.069908499173112038e+00,-1.732331911976291661e+00,-2.470312682841950824e+00,-1.842119347498071047e+00,1.956584716469393914e+00,-9.659483767171629376e-01,2.264381829437151605e+00,-9.122122281683843203e-01,-1.246316702698385237e+00,2.363054256888029725e-01,3.921227930605581946e-01,5.344532973985492985e-01,-1.285077802118021806e+00,5.577148157320410693e-03,2.295750777616684668e-01,7.289397694709942588e-02,1.877819437469136599e+00,3.226921472042322270e-01,9.345497407041603033e-02,9.824565468700241500e-01
8.399999999999999689e-01,-2.958739856185221839e-01,-2.088104724092063602e+00,-1.757240939734246998e+00,-2.465209174947783133e+00,-1.834212416726590966e+00,1.967292847178671700e+00,-9.914534925397342491e-01,2.263956838138558414e+00,-9.073045580375822539e-01,-1.244449436931944986e+00,2.741358294184134126e-01,3.985671537418267185e-01,5.363778508615858476e-01,-1.265437016405908777e+00,-4.810280684626566661e-02,2.612859977010519308e-01,1.138844779654749617e-01,1.904958631431163285e+00,3.217533192067902337e-01,9.887780333214091222e-02,9.814858775059850382e-01
8.599999999999999867e-01,-2.506080552145669715e-01,-2.106196416591189724e+00,-1.782104403676559867e+00,-2.459343736566813376e+00,-1.826176782472971771e+00,1.978040504130214261e+00,-1.016566041026535139e+00,2.262456815757124318e+00,-9.017571842318776731e-01,-1.241759318754250607e+00,3.124931779993115333e-01,4.049933566970658205e-01,5.384034338480223614e-01,-1.245823769978041451e+00,-1.019179502665503723e-01,2.935374857859275322e-01,1.551756830596934811e-01,1.930508945515704289e+00,3.208791144969966869e-01,1.035543190091348653e-01,9.797047899092310441e-01
8.800000000000000044e-01,-2.053828948851720293e-01,-2.124170677684880548e+00,-1.806905788038036587e+00,-2.452706148537602715e+00,-1.818012793874764332e+00,1.988829557228471545e+00,-1.041286734165492778e+00,2.259879541305181760e+00,-8.955597764937479610e-01,-1.238240548152083731e+00,3.513454014568470618e-01,4.114028580520945333e-01,5.405149075783921564e-01,-1.226254138349904377e+00,-1.558198966585970235e-01,3.262812571188622446e-01,1.967460872851363729e-01,1.954441455536447325e+00,3.200858611040861001e-01,1.074634683791531597e-01,9.771266964160970625e-01
9.000000000000000222e-01,-1.602200637755112345e-01,-2.142014411507830562e+00,-1.831628465393318805e+00,-2.445286838757079195e+00,-1.809720767697233557e+00,1.999661569471595346e+00,-1.065616602721738637e+00,2.256223767737819852e+00,-8.887029804721038317e-01,-1.233887761070759037e+00,3.906598702547385837e-01,4.177974380857805148e-01,5.426967242241714784e-01,-1.206743921210621462e+00,-2.097596476797634613e-01,3.594680186640651920e-01,2.385736011311861970e-01,1.976729134964688495e+00,3.193896398746137733e-01,1.105854052999201698e-01,9.737657640248901236e-01
9.200000000000000400e-01,-1.151411361342963291e-01,-2.159714345029689841e+00,-1.856255705492390495e+00,-2.437076892990101662e+00,-1.801300981902297815e+00,2.010537789014156473e+00,-1.089556990571477701e+00,2.251489233577035787e+00,-8.811784371167394880e-01,-1.228696041017983687e+00,4.304034335665095634e-01,4.241791959022552794e-01,5.449329513954603854e-01,-1.187308627530290206e+00,-2.636876556927379989e-01,3.930475463606727393e-01,2.806355594461290570e-01,1.997346886326134774e+00,3.188062461422677130e-01,1.129015254960218928e-01,9.696368942150332959e-01
9.400000000000000577e-01,-7.016768149688723533e-02,-2.177257048142057005e+00,-1.880770684326302788e+00,-2.428068064907491497e+00,-1.792753669331653477e+00,2.021459141726543507e+00,-1.113109548742096555e+00,2.245676673250783573e+00,-8.729788005140352025e-01,-1.222660930478479901e+00,4.705424581488435454e-01,4.305505433417566863e-01,5.472072973149474384e-01,-1.167963461078243892e+00,-3.175538886563104013e-01,4.269687638633992144e-01,3.229087314363042749e-01,2.016271569990081058e+00,3.183511519335368023e-01,1.143944998913575817e-01,9.647557020399490924e-01
9.599999999999999645e-01,-2.532124467467888884e-02,-2.194628954086346617e+00,-1.905156493419126074e+00,-2.418252785341009847e+00,-1.784079011519205116e+00,2.032426224264382242e+00,-1.136276229166860219e+00,2.238787826122146107e+00,-8.640977541326082534e-01,-1.215778442117871005e+00,5.110428677643378270e-01,4.369141981415359810e-01,5.495031366385300098e-01,-1.148723306366482566e+00,-3.713078962064341182e-01,4.611798227864589150e-01,3.653693317406993546e-01,2.033482030313675804e+00,3.180394687791266439e-01,1.150483059337015224e-01,9.591384945220152725e-01
9.799999999999999822e-01,1.937667442280543995e-02,-2.211816380190423370e+00,-1.929396149341686018e+00,-2.407624170744834480e+00,-1.775277132647671285e+00,2.043439297660486709e+00,-1.159059278162847484e+00,2.230825444185807083e+00,-8.545300254501051462e-01,-1.208045069754323464e+00,5.518701831004083624e-01,4.432731763596184926e-01,5.518035368819277364e-01,-1.129602715031944538e+00,-4.248988768278599282e-01,4.956281843241253648e-01,4.079930325802808011e-01,2.048959119107843119e+00,3.178859111999554066e-01,1.148482568611292054e-01,9.528022483786541263e-01
