t,q1_des,q2_des,dq1_des,dq2_des,ddq1_des,ddq2_des,motor1_q,motor2_q,motor1_dq,motor2_dq,motor1_tau,motor2_tau,q1,q2,dq1,dq2,tau1,tau2
0.0005805492401123047,-0.6742023768027681,0.4285119149394596,-0.21475353481462095,-0.3378533301593265,-0.0016387869787811704,0.011608035583568821,-0.6368732452392578,0.4392690658569336,-0.21977996826171875,-0.40293121337890625,-0.3213672637939453,-0.1196584701538086,-0.6368732452392578,0.4392690658569336,-0.21977996826171875,-0.40293121337890625,-0.3213672637939453,-0.1196584701538086
0.006399869918823242,-0.6755035234986304,0.42646624205689504,-0.21476602570280576,-0.3377849896422627,-0.0018092824634077225,0.011475481872654665,-0.6372547149658203,0.4385061264038086,-0.22954750061035156,-0.378509521484375,-0.34871864318847656,-0.10012245178222656,-0.6372547149658203,0.4385061264038086,-0.22954750061035156,-0.378509521484375,-0.34871864318847656,-0.10012245178222656
0.006643533706665039,-0.6755035234986304,0.42646624205689504,-0.21476602570280576,-0.3377849896422627,-0.0018092824634077225,0.011475481872654665,-0.6376361846923828,0.4381246566772461,-0.22954750061035156,-0.3540916442871094,-0.376068115234375,-0.09035396575927734,-0.6376361846923828,0.4381246566772461,-0.22954750061035156,-0.3540916442871094,-0.376068115234375,-0.09035396575927734
0.006806373596191406,-0.6755035234986304,0.42646624205689504,-0.21476602570280576,-0.3377849896422627,-0.0018092824634077225,0.011475481872654665,-0.6380176544189453,0.4373617172241211,-0.22954750061035156,-0.3540916442871094,-0.376068115234375,-0.09035396575927734,-0.6380176544189453,0.4373617172241211,-0.22954750061035156,-0.3540916442871094,-0.376068115234375,-0.09035396575927734
0.009971380233764648,-0.6759117032897564,0.425824498637362,-0.2147699441911257,-0.3377635506930113,-0.001862768216800541,0.01143389874739695,-0.6383991241455078,0.4362173080444336,-0.21977996826171875,-0.378509521484375,-0.376068115234375,-0.09035396575927734,-0.6383991241455078,0.4362173080444336,-0.21977996826171875,-0.378509521484375,-0.376068115234375,-0.09035396575927734
0.010286808013916016,-0.6763712960165604,0.42510192340335,-0.21477435623888272,-0.33773941136676217,-0.0019229908534459488,0.011387077953370104,-0.6387805938720703,0.4354543685913086,-0.21977996826171875,-0.378509521484375,-0.3897438049316406,-0.08058643341064453,-0.6387805938720703,0.4354543685913086,-0.21977996826171875,-0.378509521484375,-0.3897438049316406,-0.08058643341064453
0.013912439346313477,-0.6767691829789301,0.4244763624486678,-0.2147781759169966,-0.33771851303083394,-0.0019751278881796333,0.011346543405226527,-0.6391620635986328,0.4350728988647461,-0.21977996826171875,-0.3540916442871094,-0.41709327697753906,-0.07570171356201172,-0.6391620635986328,0.4350728988647461,-0.21977996826171875,-0.3540916442871094,-0.41709327697753906,-0.07570171356201172
0.014223098754882812,-0.6772176635473256,0.42377125783591274,-0.21478248128905858,-0.33769495735180444,-0.0020338944454766227,0.011300854657138825,-0.6399250030517578,0.4343099594116211,-0.21001243591308594,-0.3052520751953125,-0.40341949462890625,-0.07570171356201172,-0.6399250030517578,0.4343099594116211,-0.21001243591308594,-0.3052520751953125,-0.40341949462890625,-0.07570171356201172
0.017945051193237305,-0.6776281477030984,0.4231258914764877,-0.21478642189906644,-0.33767339736971946,-0.002087682150808053,0.01125903677581078,-0.6403064727783203,0.4339284896850586,-0.21977996826171875,-0.3052520751953125,-0.3897438049316406,-0.08058643341064453,-0.6403064727783203,0.4339284896850586,-0.21977996826171875,-0.3052520751953125,-0.3897438049316406,-0.08058643341064453
0.018239259719848633,-0.6780829268681956,0.42241088416136124,-0.21479078773707538,-0.3376495108676116,-0.002147274043403916,0.011212706361130845,-0.6406879425048828,0.4331655502319336,-0.21977996826171875,-0.3296699523925781,-0.376068115234375,-0.09035396575927734,-0.6406879425048828,0.4331655502319336,-0.21977996826171875,-0.3296699523925781,-0.376068115234375,-0.09035396575927734
