t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
1.699999999999963762e-01,-1.123384756480645841e+00,-3.021461712516703702e-01,-2.476288881502398120e-01,-3.834313123415027946e-01,-8.475900894998446636e-03,-3.544714044466382163e-02,-5.593856288047411862e-01,-1.060474692045625666e-01
1.799999999999961631e-01,-1.125778114306611233e+00,-3.057838754162337525e-01,-2.477120586258352575e-01,-3.837854383647453793e-01,-8.157629394579941212e-03,-3.537861802675737466e-02,-5.602388902743767884e-01,-1.060673865564523560e-01
1.899999999999959499e-01,-1.128172815440835253e+00,-3.094261994350039902e-01,-2.477920307926609611e-01,-3.841388945393184873e-01,-7.836249990983552155e-03,-3.531316947191778799e-02,-5.610961620222427726e-01,-1.060861875500717644e-01
1.999999999999957367e-01,-1.130568848752287137e+00,-3.130731788917355263e-01,-2.478687738754142555e-01,-3.844917115574277289e-01,-7.511823690950636921e-03,-3.525078415018981226e-02,-5.619573528457407763e-01,-1.061039204904203476e-01
2.099999999999955236e-01,-1.132966201732902300e+00,-3.167248474475501951e-01,-2.479422577159978158e-01,-3.848439199678952982e-01,-7.184412916319694864e-03,-3.519144404615096033e-02,-5.628223706784012403e-01,-1.061206332021426696e-01
2.199999999999953104e-01,-1.135364860509760154e+00,-3.203812368525861820e-01,-2.480124527873193152e-01,-3.851955501031879558e-01,-6.854081433451004839e-03,-3.513512393701903602e-02,-5.636911226804950381e-01,-1.061363729854621490e-01
2.299999999999950973e-01,-1.137764809858291759e+00,-3.240423769589402259e-01,-2.480793302063809824e-01,-3.855466320082779896e-01,-6.520894281839158951e-03,-3.508179158179250412e-02,-5.645635153275142537e-01,-1.061511865741501248e-01
2.399999999999948841e-01,-1.140166033216535757e+00,-3.277082957348614323e-01,-2.481428617466460151e-01,-3.858971953714419589e-01,-6.184917700998062394e-03,-3.503140791820405497e-02,-5.654394544963511349e-01,-1.061651200954927265e-01
2.499999999999946709e-01,-1.142568512700368855e+00,-3.313790192801582823e-01,-2.482030198496689433e-01,-3.862472694570598386e-01,-5.846219056367300305e-03,-3.498392726677959641e-02,-5.663188455490262285e-01,-1.061782190322272945e-01
2.599999999999944578e-01,-1.144972229119702201e+00,-3.350545718427711539e-01,-2.482597776359874719e-01,-3.865968830404937218e-01,-5.504866765808556078e-03,-3.493929754146143929e-02,-5.672015934138049387e-01,-1.061905281864339023e-01
2.699999999999942446e-01,-1.147377161995568828e+00,-3.387349758364701646e-01,-2.483131089152765814e-01,-3.869460643450916004e-01,-5.160930225796478074e-03,-3.489746046507482408e-02,-5.680876026635701681e-01,-1.062020916453668556e-01
2.799999999999940314e-01,-1.149783289578102385e+00,-3.424202518596328182e-01,-2.483629881957731544e-01,-3.872948409813762316e-01,-4.814479739323689923e-03,-3.485835178945741880e-02,-5.689767775912739634e-01,-1.062129527491951497e-01
