t,q1_des,q2_des,dq1_des,dq2_des,ddq1_des,ddq2_des,motor1_q,motor2_q,motor1_dq,motor2_dq,motor1_tau,motor2_tau,q1,q2,dq1,dq2,tau1,tau2
0.0030362606048583984,0.976969960492548,-0.6590716697857503,-0.04694127822192417,-0.2103260683802775,-0.12983277351292966,0.3140042451215387,0.8466854095458984,-0.6452655792236328,-0.0048847198486328125,-0.25640869140625,1.087179183959961,-0.09035396575927734,0.8466854095458984,-0.6452655792236328,-0.0048847198486328125,-0.25640869140625,1.087179183959961,-0.09035396575927734
0.003213644027709961,0.976969960492548,-0.6590716697857503,-0.04694127822192417,-0.2103260683802775,-0.12983277351292966,0.3140042451215387,0.8466854095458984,-0.6456470489501953,-0.0048847198486328125,-0.1831512451171875,1.1145305633544922,-0.07570171356201172,0.8466854095458984,-0.6456470489501953,-0.0048847198486328125,-0.1831512451171875,1.1145305633544922,-0.07570171356201172
0.009067773818969727,0.9766788561600839,-0.6603063071782338,-0.04772229657170171,-0.20845034040362065,-0.13012808485417415,0.3136919630139931,0.8466854095458984,-0.6456470489501953,-0.0048847198486328125,-0.15872955322265625,1.1692314147949219,-0.08058643341064453,0.8466854095458984,-0.6456470489501953,-0.0048847198486328125,-0.15872955322265625,1.1692314147949219,-0.08058643341064453
0.009272575378417969,0.9766788561600839,-0.6603063071782338,-0.04772229657170171,-0.20845034040362065,-0.13012808485417415,0.3136919630139931,0.8466854095458984,-0.6460285186767578,-0.0048847198486328125,-0.15872955322265625,1.1555557250976562,-0.09523773193359375,0.8466854095458984,-0.6460285186767578,-0.0048847198486328125,-0.15872955322265625,1.1555557250976562,-0.09523773193359375
0.009429216384887695,0.9766788561600839,-0.6603063071782338,-0.04772229657170171,-0.20845034040362065,-0.13012808485417415,0.3136919630139931,0.8466854095458984,-0.6464099884033203,-0.0048847198486328125,-0.1831512451171875,1.0735034942626953,-0.10988998413085938,0.8466854095458984,-0.6464099884033203,-0.0048847198486328125,-0.1831512451171875,1.0735034942626953,-0.10988998413085938
0.012973546981811523,0.9764842416613221,-0.6611317099994722,-0.048244437528447474,-0.20719634374578877,-0.13032551190092562,0.31348319035397193,0.8466854095458984,-0.6467914581298828,-0.0048847198486328125,-0.20756912231445312,1.1145305633544922,-0.1196584701538086,0.8466854095458984,-0.6467914581298828,-0.0048847198486328125,-0.20756912231445312,1.1145305633544922,-0.1196584701538086
0.013149023056030273,0.9764842416613221,-0.6611317099994722,-0.048244437528447474,-0.20719634374578877,-0.13032551190092562,0.31348319035397193,0.8466854095458984,-0.6475543975830078,-0.0048847198486328125,-0.25640869140625,1.0598297119140625,-0.10988998413085938,0.8466854095458984,-0.6475543975830078,-0.0048847198486328125,-0.25640869140625,1.0598297119140625,-0.10988998413085938
0.01697540283203125,0.9762888387332536,-0.6619604567225186,-0.048768693801550626,-0.2059372668512734,-0.13052373877128023,0.3132735719065881,0.8466854095458984,-0.6479358673095703,-0.0048847198486328125,-0.3052520751953125,1.0598297119140625,-0.10988998413085938,0.8466854095458984,-0.6479358673095703,-0.0048847198486328125,-0.3052520751953125,1.0598297119140625,-0.10988998413085938
0.01726555824279785,0.9762888387332536,-0.6619604567225186,-0.048768693801550626,-0.2059372668512734,-0.13052373877128023,0.3132735719065881,0.8466854095458984,-0.6486988067626953,-0.0048847198486328125,-0.3052520751953125,1.128204345703125,-0.08058643341064453,0.8466854095458984,-0.6486988067626953,-0.0048847198486328125,-0.3052520751953125,1.128204345703125,-0.08058643341064453
0.021379947662353516,0.9760940850999082,-0.6627864496440762,-0.049291208049418285,-0.20468237368108558,-0.13072130696337342,0.3130646499899735,0.8466854095458984,-0.6490802764892578,-0.0048847198486328125,-0.28083038330078125,1.128204345703125,-0.07570171356201172,0.8466854095458984,-0.6490802764892578,-0.0048847198486328125,-0.28083038330078125,1.128204345703125,-0.07570171356201172
0.02164149284362793,0.9760940850999082,-0.6627864496440762,-0.049291208049418285,-0.20468237368108558,-0.13072130696337342,0.3130646499899735,0.8466854095458984,-0.6494617462158203,-0.0048847198486328125,-0.20756912231445312,1.0598297119140625,-0.09035396575927734,0.8466854095458984,-0.6494617462158203,-0.0048847198486328125,-0.20756912231445312,1.0598297119140625,-0.09035396575927734
0.027515172958374023,0.9758024937964016,-0.6640231523876762,-0.05007353291812244,-0.20280350791118304,-0.131017112313314,0.31275184548435103,0.8466854095458984,-0.6498432159423828,-0.0048847198486328125,-0.15872955322265625,1.0324783325195312,-0.07570171356201172,0.8466854095458984,-0.6498432159423828,-0.0048847198486328125,-0.15872955322265625,1.0324783325195312,-0.07570171356201172
0.02778911590576172,0.9758024937964016,-0.6640231523876762,-0.05007353291812244,-0.20280350791118304,-0.131017112313314,0.31275184548435103,0.8466854095458984,-0.6502246856689453,-0.0048847198486328125,-0.13431167602539062,0.9777774810791016,-0.10012245178222656,0.8466854095458984,-0.6502246856689453,-0.0048847198486328125,-0.13431167602539062,0.9777774810791016,-0.10012245178222656
0.028283119201660156,0.9757070938502704,-0.6644277645064222,-0.05032948619736607,-0.2021887992724794,-0.1311138909692968,0.312649505213475,0.8466854095458984,-0.6506061553955078,-0.0048847198486328125,-0.15872955322265625,0.9777774810791016,-0.10500621795654297,0.8466854095458984,-0.6506061553955078,-0.0048847198486328125,-0.15872955322265625,0.9777774810791016,-0.10500621795654297
0.031418800354003906,0.9756074265214744,-0.6648495501426394,-0.05059656594587237,-0.20154755530884882,-0.1312148315077013,0.31254236075582154,0.8466854095458984,-0.6509876251220703,-0.0048847198486328125,-0.20756912231445312,0.9641017913818359,-0.1196584701538086,0.8466854095458984,-0.6509876251220703,-0.0048847198486328125,-0.20756912231445312,0.9641017913818359,-0.1196584701538086
0.031681060791015625,0.9756074265214744,-0.6648495501426394,-0.05059656594587237,-0.20154755530884882,-0.1312148315077013,0.31254236075582154,0.8466854095458984,-0.6513690948486328,-0.0048847198486328125,-0.25640869140625,0.9367523193359375,-0.1294260025024414,0.8466854095458984,-0.6513690948486328,-0.0048847198486328125,-0.25640869140625,0.9367523193359375,-0.1294260025024414
0.03493070602416992,0.9753981998667891,-0.6656331618789273,-0.05112172551292982,-0.2003072205247487,-0.1314083367909343,0.31229253181923533,0.8466854095458984,-0.6517505645751953,-0.0048847198486328125,-0.28083038330078125,0.9641017913818359,-0.10012245178222656,0.8466854095458984,-0.6517505645751953,-0.0048847198486328125,-0.28083038330078125,0.9641017913818359,-0.10012245178222656
0.03510761260986328,0.9753981998667891,-0.6656331618789273,-0.05112172551292982,-0.2003072205247487,-0.1314083367909343,0.31229253181923533,0.8466854095458984,-0.6525135040283203,-0.0048847198486328125,-0.25640869140625,0.9641017913818359,-0.10500621795654297,0.8466854095458984,-0.6525135040283203,-0.0048847198486328125,-0.25640869140625,0.9641017913818359,-0.10500621795654297
0.03941059112548828,0.9751864791361315,-0.6664261146200985,-0.051653145218590636,-0.19905210039129934,-0.13160414874431006,0.31203972480918674,0.8466854095458984,-0.6528949737548828,-0.0048847198486328125,-0.20756912231445312,0.9777774810791016,-0.07081794738769531,0.8466854095458984,-0.6528949737548828,-0.0048847198486328125,-0.20756912231445312,0.9777774810791016,-0.07081794738769531
0.03972458839416504,0.9751864791361315,-0.6664261146200985,-0.051653145218590636,-0.19905210039129934,-0.13160414874431006,0.31203972480918674,0.8466854095458984,-0.6528949737548828,-0.0048847198486328125,-0.13431167602539062,0.9641017913818359,-0.05616569519042969,0.8466854095458984,-0.6528949737548828,-0.0048847198486328125,-0.13431167602539062,0.9641017913818359,-0.05616569519042969
0.04512524604797363,0.9748718370392181,-0.6676045363668044,-0.05244289788008443,-0.19718684312792123,-0.13189514851282355,0.3116640236319376,0.8466854095458984,-0.6532764434814453,-0.0048847198486328125,-0.10988998413085938,1.0188026428222656,-0.0659341812133789,0.8466854095458984,-0.6532764434814453,-0.0048847198486328125,-0.10988998413085938,1.0188026428222656,-0.0659341812133789
