t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
2.599999999999944578e-01,-1.072949451968621126e+00,-1.990182959961498410e+00,-6.332465320322618885e-01,-7.456443339350605770e-01,1.442789152714026892e-02,2.466219442291966435e-01,-6.237785776211702826e-01,-1.205021988701414498e-01
2.699999999999942446e-01,-1.079214976950138904e+00,-1.997365515585764806e+00,-6.330942853624704769e-01,-7.431729391847666788e-01,1.602018602433938343e-02,2.476545468966800667e-01,-6.256139936660607415e-01,-1.202541723797805329e-01
2.799999999999940314e-01,-1.085479220779077325e+00,-2.004526613624415532e+00,-6.329261503844137993e-01,-7.406912866891682823e-01,1.760558260743740056e-02,2.486734958358487735e-01,-6.274550804900440593e-01,-1.200062459649860191e-01
2.899999999999938183e-01,-1.091742031851022254e+00,-2.011666211745266164e+00,-6.327421952688685458e-01,-7.381995129134396594e-01,1.918424192701064651e-02,2.496788056204340411e-01,-6.293017558693418945e-01,-1.197585120144198101e-01
2.999999999999936051e-01,-1.098003258709920660e+00,-2.018784264329164913e+00,-6.325424866086416520e-01,-7.356977541730033154e-01,2.075631891107383373e-02,2.506704916041262443e-01,-6.311539371298355849e-01,-1.195110628596992297e-01
3.099999999999933920e-01,-1.104262750039077812e+00,-2.025880722527049649e+00,-6.323270894762088590e-01,-7.331861466263511762e-01,2.232196268417314944e-02,2.516485697973684932e-01,-6.330115411347804200e-01,-1.192639907321974280e-01
3.199999999999931788e-01,-1.110520354653055985e+00,-2.032955534319938806e+00,-6.320960674821016756e-01,-7.306648262691002316e-01,2.388131649968990369e-02,2.526130567424837992e-01,-6.348744842712554792e-01,-1.190173877196274432e-01
3.299999999999929656e-01,-1.116775921490422041e+00,-2.040008644581746022e+00,-6.318494828339143998e-01,-7.281339289292785288e-01,2.543451768210914371e-02,2.535639693933826599e-01,-6.367426824355434389e-01,-1.187713457223966568e-01
3.399999999999927525e-01,-1.123029299607370746e+00,-2.047039995144722013e+00,-6.315873963958388293e-01,-7.255935902638053214e-01,2.698169757989089812e-02,2.545013249973242520e-01,-6.386160510176080995e-01,-1.185259564097227436e-01
3.499999999999925393e-01,-1.129280338172193199e+00,-2.054049524867495258e+00,-6.313098677486235211e-01,-7.230439457561220751e-01,2.852298152725024974e-02,2.554251409820622598e-01,-6.404945048848491584e-01,-1.182813111755139091e-01
3.599999999999923261e-01,-1.135528886460599685e+00,-2.061037169705551175e+00,-6.310169552498571255e-01,-7.204851307149467976e-01,3.005848881801215927e-02,2.563354348460715748e-01,-6.423779583653049796e-01,-1.180375010940097613e-01
3.699999999999921130e-01,-1.141774793851863645e+00,-2.068002862783982376e+00,-6.307087160944794269e-01,-7.179172802740753090e-01,3.158833268559912977e-02,2.572322240571293661e-01,-6.442663252304103860e-01,-1.177946168751731471e-01
3.799999999999918998e-01,-1.148017909825797878e+00,-2.074946534472467352e+00,-6.303852063754330493e-01,-7.153405293931816011e-01,3.311262029470508211e-02,2.581155259543381209e-01,-6.461595186774351518e-01,-1.175527488198259141e-01
3.899999999999916866e-01,-1.154258083960541637e+00,-2.081868112462283538e+00,-6.300464811443831081e-01,-7.127550128595784296e-01,3.463145273665962920e-02,2.589853576551718883e-01,-6.480574513116502677e-01,-1.173119867745142514e-01
3.999999999999914735e-01,-1.160495165931140216e+00,-2.088767521845274366e+00,-6.296925944724218738e-01,-7.101608652908757424e-01,3.614492503561811398e-02,2.598417359670472382e-01,-6.499600351282434074e-01,-1.170724200860889380e-01
4.099999999999912603e-01,-1.166729005508923001e+00,-2.095644685194656187e+00,-6.293235995106961633e-01,-7.075582211384918718e-01,3.765312615946902336e-02,2.606846773067487688e-01,-6.518671814939985820e-01,-1.168341375560080914e-01
4.199999999999910472e-01,-1.172959452561633142e+00,-2.102499522647540253e+00,-6.289395485508918471e-01,-7.049472146919516513e-01,3.915613903612702451e-02,2.615141976226579845e-01,-6.537788011287236634e-01,-1.165972273943926552e-01
4.299999999999908340e-01,-1.179186357054339274e+00,-2.109331951989013465e+00,-6.285404930855232886e-01,-7.023279800839332676e-01,4.065404057612547611e-02,2.623303123233936551e-01,-6.556948040863981308e-01,-1.163617771738757745e-01
4.399999999999906208e-01,-1.185409569051095291e+00,-2.116141888737691268e+00,-6.281264838679742057e-01,-6.997006512960068925e-01,4.214690170051133000e-02,2.631330362099219555e-01,-6.576150997359855310e-01,-1.161278737832778241e-01
4.499999999999904077e-01,-1.191628938717306019e+00,-2.122929246232642786e+00,-6.276975709722426577e-01,-6.970653621650308995e-01,4.363478737195857632e-02,2.639223834138829661e-01,-6.595395967418370420e-01,-1.158956033811431724e-01
4.599999999999901945e-01,-1.197844316322841607e+00,-2.129693935721568732e+00,-6.272538038523303161e-01,-6.944222463901102982e-01,4.511775663390415331e-02,2.646983673445783003e-01,-6.614682030436198623e-01,-1.156650513491720850e-01
4.699999999999899813e-01,-1.204055552245846261e+00,-2.136435866450126397e+00,-6.267952314012342763e-01,-6.917714375400765281e-01,4.659586265234732377e-02,2.654610006393157695e-01,-6.634008258356519638e-01,-1.154363022455704713e-01
4.799999999999897682e-01,-1.210262496977231539e+00,-2.143154945752241858e+00,-6.263219020094873413e-01,-6.891130690614107879e-01,4.806915276245176533e-02,2.662102951249404326e-01,-6.653373715455750403e-01,-1.152094397583430657e-01
