t,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,ddq7,tau1,tau2,tau3,tau4,tau5,tau6,tau7
3.200000000000000067e-01,-1.448880797761500139e+00,-1.606446053161596277e+00,-1.096985873764600328e+00,-2.405710925563747438e+00,-2.008918215440408606e+00,1.685105745597875293e+00,-2.070519212669213183e-01,2.257704127828633833e+00,-1.105947264826525611e+00,-1.299351137701278525e+00,-4.829022576202581796e-01,2.172388418311039793e-01,4.868701963150485201e-01,-1.732885538345280585e+00,2.473638087101758809e-01,5.776669178428631701e-01,-1.015938777193594822e+00,1.904729973580712388e+00,-6.500676664142718275e-01,-7.872460585848621406e+00,2.354104748010671955e+01,3.463209546762044955e-01,4.766900793388591240e-02,-6.644189443300280162e-01,2.797853885446042743e-01,2.584466489715664395e-01,1.559271538669590174e-01,2.070345542632405934e-04
3.400000000000000244e-01,-1.402608222321754861e+00,-1.627649072640056094e+00,-1.123533432511236940e+00,-2.415196401010459404e+00,-2.004940850472079372e+00,1.694721627555985322e+00,-2.416929563254137658e-01,2.281542691693131619e+00,-1.090100971714910161e+00,-1.286761157303508929e+00,-4.541712348559455714e-01,2.321945727028281448e-01,5.100079580069902807e-01,-1.742118769128758515e+00,-7.373275525017403131e-02,-3.614415833869693562e-01,1.744847952300546012e+00,-4.817129159580287312e-01,2.406364803715977274e+00,1.448722749785472663e+00,-4.289068100198836220e+00,2.264232940042871234e-01,1.230990804132302135e-01,-5.967394043788409874e-01,2.814127454717156862e-01,2.805883011353085266e-01,1.970431271448903898e-01,-1.416801978033543734e-02
3.599999999999999867e-01,-1.357283181219381074e+00,-1.648808372488384855e+00,-1.148535088293275885e+00,-2.424226504903846280e+00,-1.999844705827233504e+00,1.704590833687465112e+00,-2.753706677492230859e-01,2.278586118928768833e+00,-1.070160395952896693e+00,-1.283900336588310820e+00,-4.220790097413719688e-01,2.533815888081841772e-01,4.932046383092468789e-01,-1.741132272897531141e+00,-2.084781176209428821e+00,2.588428756336258463e+00,-1.480743205362927251e+00,3.892260223302900890e+00,1.171031122166529492e+00,-8.270858307600333248e+00,-1.508753007762937415e+01,1.323661036818628567e-01,1.804031351025542629e-01,-5.380508616617023510e-01,2.720576703486657366e-01,2.677189383859324701e-01,2.018155422660590503e-01,-3.896856569082261107e-02
3.800000000000000044e-01,-1.311566148723622982e+00,-1.671005274005105123e+00,-1.173981155942753984e+00,-2.431473155009415521e+00,-1.994717258614720601e+00,1.716581571968911701e+00,-3.112062914708261241e-01,2.290347273143569673e+00,-1.061525182037957205e+00,-1.260480355622585869e+00,-3.991601491874431362e-01,2.486136147242359873e-01,5.098181182198551209e-01,-1.700726211969738610e+00,-6.833235679434412901e-02,2.363579535963862721e+00,-7.983911477399212586e-01,1.259548565167222467e+00,8.795136811311984326e-01,7.378637912581380576e+00,-7.751218355909401225e+00,2.673840362354869965e-02,2.344003185423796931e-01,-5.162229328452753174e-01,2.655790744564553441e-01,2.626940368622018296e-01,2.307175909018567006e-01,-3.214707899569376609e-02
4.000000000000000222e-01,-1.265282251899619403e+00,-1.691827691011421164e+00,-1.199412204398879744e+00,-2.439838308062605154e+00,-1.989988041684093378e+00,1.726118769453822699e+00,-3.438177743594272862e-01,2.301029550969665660e+00,-1.039142027264845058e+00,-1.241943346650415725e+00,-3.632665618857779943e-01,2.604032216364366992e-01,5.018939204188805903e-01,-1.681998111944099428e+00,-1.784621130092781449e+00,2.224518004701617535e+00,2.933854939545641610e-02,5.443034875019604257e+00,-2.402019215344827430e+00,-1.527104702130215408e+01,-2.353190145001397227e+00,-4.524244168313745068e-02,2.757861998623011845e-01,-4.698356555994633865e-01,2.544229224973420522e-01,2.423497752432789698e-01,1.736150711837983751e-01,-2.241390100566895138e-02
4.199999999999999845e-01,-1.218958227052850063e+00,-1.713086205301832088e+00,-1.222896634452542486e+00,-2.446637485945301727e+00,-1.984881156214154840e+00,1.736661714357257802e+00,-3.771581050184941164e-01,2.319089817603980475e+00,-1.025092210457753561e+00,-1.242064121498958285e+00,-3.351711842629275240e-01,2.710019291170900901e-01,5.341778289921825795e-01,-1.659700710445930927e+00,-1.618430510132538025e-01,5.802122178436252220e+00,-4.530841362953644591e+00,4.959838309590010041e+00,-8.606263174628040247e+00,7.366697559668261341e+00,-1.978806284028270923e+01,-1.760707952477932048e-01,3.214670984057154679e-01,-4.496396047805561458e-01,2.338963189772907958e-01,1.841991319978174835e-01,2.062944318265197141e-01,-7.238632959957881641e-02
4.400000000000000022e-01,-1.172963063209942369e+00,-1.733460840951779769e+00,-1.248606401863071369e+00,-2.452769950160751833e+00,-1.978656649948955293e+00,1.746767524887286260e+00,-4.108889090573410452e-01,2.330090893903020710e+00,-1.021927292220845107e+00,-1.233218758087531564e+00,-2.976696231811926663e-01,2.932112361106348764e-01,5.235189509422106813e-01,-1.649511035829708705e+00,2.161760982238161599e+00,-6.933935248277220964e-01,1.018581423305463973e+00,-9.524451401495958036e-01,7.786290529535051519e+00,1.143605708504457219e+01,-7.042517443627064111e+00,-2.705353971109661360e-01,3.583681064771082614e-01,-3.948749905210450217e-01,1.762923685547125863e-01,2.412205885564413510e-01,2.571971804933350647e-01,-1.970040256754434366e-02
4.600000000000000200e-01,-1.126037597315123318e+00,-1.753268005403324725e+00,-1.273200854267968918e+00,-2.458594377337377068e+00,-1.973382007469404620e+00,1.757944234582111687e+00,-4.432505571614637763e-01,2.336228643514581815e+00,-1.007767719327103517e+00,-1.257569225211429442e+00,-2.617484661684461589e-01,2.892593757200644378e-01,5.398352332473355109e-01,-1.576581756429277670e+00,1.360548243899248222e+00,2.927530095705491942e+00,-4.435725090858141151e+00,3.305280311894773781e-01,1.679688697713658696e+00,1.410377050945322397e+00,3.192171856296448595e+01,-3.268232780300648899e-01,3.881138166686112778e-01,-3.796766489558976998e-01,1.346896945156318692e-01,2.297221188589834706e-01,1.985342730062773509e-01,6.167977698449150781e-03
4.799999999999999822e-01,-1.079618083286130847e+00,-1.773487076641574456e+00,-1.299116812860545922e+00,-2.461891815037434039e+00,-1.965995875093929923e+00,1.768304662411822159e+00,-4.755338206440947735e-01,2.346865792283591823e+00,-1.005752572239632325e+00,-1.264528980910990086e+00,-2.183058261250012122e-01,3.050388464521509024e-01,5.247819060968854643e-01,-1.632132695882444029e+00,1.965277200756427867e-01,2.905689276936284760e+00,-3.233241726882939204e+00,3.718726073690774570e+00,-1.468613186943509952e+00,-7.797425367002367658e+00,-6.776659424665257170e+00,-4.358502232724083547e-01,3.909711299917952854e-01,-3.232692256916283036e-01,1.159386784046639307e-01,2.003382326958493831e-01,2.278654671692067757e-01,-6.517656582721787634e-03
5.000000000000000000e-01,-1.032034971386662559e+00,-1.793122217153319209e+00,-1.323494149914592910e+00,-2.467464555405225024e+00,-1.961352450834700667e+00,1.779499363107502896e+00,-5.073515080711581415e-01,2.361225300905370084e+00,-1.014512794919948613e+00,-1.262131492140101452e+00,-1.807128766395960373e-01,3.211061150271685150e-01,5.260408926735272717e-01,-1.586440620125889156e+00,-2.000326202403871267e+00,-3.250851994878125151e+00,3.484022763643568332e-01,1.080504851053114626e-02,1.397252067566644307e+01,-3.621760190980470195e+00,6.435331804765827002e+00,-5.330272862963698621e-01,4.464951858934821383e-01,-2.982126939302638946e-01,8.836910425619240450e-02,2.087005738258665422e-01,1.957460354393174284e-01,5.189126471341174926e-03
