epoch,train_normalized_mse,validation_normalized_mse
4.500000000000000000e+01,3.492699647541512315e-03,1.229262921254030472e+00
4.600000000000000000e+01,3.416033926994295738e-03,1.230933744194444790e+00
4.700000000000000000e+01,3.412755750796720756e-03,1.231576908647010082e+00
4.800000000000000000e+01,3.279671273905116965e-03,1.246271147210362473e+00
4.900000000000000000e+01,3.361095275630865929e-03,1.253328788017841644e+00
5.000000000000000000e+01,3.390657189452731327e-03,1.268703940849033929e+00
5.100000000000000000e+01,3.191592759517046952e-03,1.269868064386711515e+00
5.200000000000000000e+01,3.392094232184472615e-03,1.263900416152156314e+00
5.300000000000000000e+01,3.134388347754872746e-03,1.282785033872986924e+00
5.400000000000000000e+01,3.115368712094761933e-03,1.289442504422843472e+00
5.500000000000000000e+01,3.238508273468587804e-03,1.302635501614924030e+00
5.600000000000000000e+01,3.072090686631585767e-03,1.304553562157090063e+00
5.700000000000000000e+01,3.033879538086197303e-03,1.304847199671450575e+00
5.800000000000000000e+01,3.235279636281343345e-03,1.319632462068425660e+00
5.900000000000000000e+01,3.120131169850243191e-03,1.321506387186705433e+00
6.000000000000000000e+01,2.943678619525928308e-03,1.325884203440746090e+00
6.100000000000000000e+01,2.965304670767103957e-03,1.322294786183517701e+00
6.200000000000000000e+01,3.105838520633597954e-03,1.339217946112284841e+00
6.300000000000000000e+01,2.970904770333378589e-03,1.340998419695203836e+00
6.400000000000000000e+01,3.019629524372756391e-03,1.357444730240684239e+00
6.500000000000000000e+01,3.149018718858842634e-03,1.347685295505454128e+00
6.600000000000000000e+01,3.268321928606490127e-03,1.363013952869197132e+00
6.700000000000000000e+01,2.819177795376505511e-03,1.370464100345155423e+00
6.800000000000000000e+01,2.826205205434222621e-03,1.365050203927670625e+00
6.900000000000000000e+01,3.012057381601430852e-03,1.372978731950840858e+00
7.000000000000000000e+01,2.834580422933483113e-03,1.375231573580931288e+00
7.100000000000000000e+01,2.840990149850118694e-03,1.379560279419067559e+00
7.200000000000000000e+01,2.752208821823778212e-03,1.386063970600525774e+00
7.300000000000000000e+01,2.977849411949693836e-03,1.393659134436433966e+00
7.400000000000000000e+01,2.847052289898943482e-03,1.402111788056783270e+00
7.500000000000000000e+01,2.731061078238372717e-03,1.398041064773958508e+00
7.600000000000000000e+01,2.759878941723919663e-03,1.397561674648595043e+00
7.700000000000000000e+01,2.967259264649092006e-03,1.414347265155617928e+00
7.800000000000000000e+01,2.936241415572725128e-03,1.420670862523770506e+00
7.900000000000000000e+01,2.828027536324301695e-03,1.411403499653716365e+00
8.000000000000000000e+01,2.658765131135340434e-03,1.418903803053114032e+00
8.100000000000000000e+01,2.653045906624061125e-03,1.425060933483476511e+00
8.200000000000000000e+01,2.735114172950439421e-03,1.427191622331450471e+00
8.300000000000000000e+01,2.693940779954359047e-03,1.434074889338911918e+00
8.400000000000000000e+01,2.784693256389672925e-03,1.438209471358739000e+00
8.500000000000000000e+01,2.677294881973500511e-03,1.440002827123807005e+00
8.600000000000000000e+01,2.783768488323227173e-03,1.441873113225057956e+00
8.700000000000000000e+01,2.697470645408976252e-03,1.445007541763800640e+00
8.800000000000000000e+01,2.765906894887860696e-03,1.449137770822558346e+00
8.900000000000000000e+01,2.840156859641431754e-03,1.452480341994891067e+00
9.000000000000000000e+01,2.785794206499128851e-03,1.461818245907624103e+00
9.100000000000000000e+01,2.539981577234169934e-03,1.453564177897221921e+00
9.200000000000000000e+01,2.655354171144135716e-03,1.457975089247982359e+00
9.300000000000000000e+01,2.579018274964699209e-03,1.465444459143738110e+00
9.400000000000000000e+01,2.623976122292207697e-03,1.467804561239317795e+00
9.500000000000000000e+01,2.749080819156554320e-03,1.472637393879349998e+00
9.600000000000000000e+01,2.646612767359223916e-03,1.468183354870750579e+00
9.700000000000000000e+01,2.749138681012158920e-03,1.468406951964770224e+00
9.800000000000000000e+01,2.674077462125861848e-03,1.482279341356640856e+00
9.900000000000000000e+01,2.567168080012596255e-03,1.475040686212317320e+00
1.000000000000000000e+02,2.600235117853740008e-03,1.482946677284427306e+00
1.010000000000000000e+02,2.636308795346375532e-03,1.481013076225217162e+00
1.020000000000000000e+02,2.543239181080629747e-03,1.483393038394783314e+00
1.030000000000000000e+02,2.516018306669786427e-03,1.481944099243304169e+00
1.040000000000000000e+02,2.521122371340853239e-03,1.490897857751088740e+00
1.050000000000000000e+02,2.506532640085920582e-03,1.492980037845522245e+00
1.060000000000000000e+02,2.524922924022245194e-03,1.489983197093779799e+00
1.070000000000000000e+02,2.683069569885303176e-03,1.489960717396935141e+00
1.080000000000000000e+02,2.733182909049192491e-03,1.494592347289000145e+00
1.090000000000000000e+02,2.472233109131628977e-03,1.490299666999346240e+00
1.100000000000000000e+02,2.556530641849824592e-03,1.493091873764613053e+00
